trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
755,False,"{'a': 0.5, 'e': 0.07304857803507785}",20,16,8.478719150019824,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
756,False,"{'a': 0.5, 'e': 0.07279584915427847}",20,9,-6.686264948996171,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
757,False,"{'a': 0.5, 'e': 0.0725439946489825}",30,18,23.86214429715864,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
758,False,"{'a': 0.5, 'e': 0.07229301149408046}",20,11,16.594330403631496,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
759,False,"{'a': 0.5, 'e': 0.07204289667492902}",25,11,27.319492798517565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
760,False,"{'a': 0.5, 'e': 0.07179364718731468}",25,8,14.501100871040958,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
761,False,"{'a': 0.5, 'e': 0.07154526003741779}",25,1,-10.115532980475784,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
762,False,"{'a': 0.5, 'e': 0.07129773224177648}",20,9,20.81511873334418,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
763,False,"{'a': 0.5, 'e': 0.07105106082725088}",30,7,15.859535729631698,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
764,False,"{'a': 0.5, 'e': 0.0708052428309874}",30,16,29.529164047705333,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
765,False,"{'a': 0.5, 'e': 0.0705602753003832}",20,13,10.13065099545108,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
766,False,"{'a': 0.5, 'e': 0.07031615529305059}",20,13,13.955700607452725,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
767,False,"{'a': 0.5, 'e': 0.0700728798767818}",30,3,29.710458441908056,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
768,False,"{'a': 0.5, 'e': 0.06983044612951375}",20,12,-5.097768196477622,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
769,False,"{'a': 0.5, 'e': 0.06958885113929289}",25,15,-29.24537230668043,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
770,False,"{'a': 0.5, 'e': 0.0693480920042403}",20,0,32.55867584658283,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
771,False,"{'a': 0.5, 'e': 0.0691081658325168}",35,20,26.56002514247427,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
772,False,"{'a': 0.5, 'e': 0.06886906974228818}",20,10,22.975393650129575,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
773,False,"{'a': 0.5, 'e': 0.0686308008616906}",20,11,17.306141281471106,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
774,False,"{'a': 0.5, 'e': 0.06839335632879621}",20,9,17.822834951943616,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
775,False,"{'a': 0.5, 'e': 0.0681567332915786}",25,13,22.274306009152777,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
776,False,"{'a': 0.5, 'e': 0.06792092890787864}",20,11,6.817529633844206,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
777,False,"{'a': 0.5, 'e': 0.06768594034537029}",20,15,12.121367505180386,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
778,False,"{'a': 0.5, 'e': 0.06745176478152669}",20,14,11.877598572871623,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
779,False,"{'a': 0.5, 'e': 0.06721839940358613}",20,10,20.37151934110671,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
780,False,"{'a': 0.5, 'e': 0.06698584140851832}",30,10,35.331641362886415,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
781,False,"{'a': 0.5, 'e': 0.06675408800299071}",25,9,31.01826337452286,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
782,False,"{'a': 0.5, 'e': 0.06652313640333499}",20,15,3.221487345911399,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
783,False,"{'a': 0.5, 'e': 0.06629298383551356}",25,7,29.293720931586908,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
784,False,"{'a': 0.5, 'e': 0.06606362753508628}",20,13,1.6523786747437317,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
785,False,"{'a': 0.5, 'e': 0.06583506474717724}",35,21,28.192546970682912,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
786,False,"{'a': 0.5, 'e': 0.0656072927264417}",20,10,17.996472166426525,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
787,False,"{'a': 0.5, 'e': 0.06538030873703307}",25,14,19.41331384979963,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
788,False,"{'a': 0.5, 'e': 0.06515411005257009}",20,9,20.266418742864353,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
789,False,"{'a': 0.5, 'e': 0.06492869395610401}",20,3,22.7272438490057,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
790,False,"{'a': 0.5, 'e': 0.06470405774008609}",25,18,13.206757555977958,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
791,False,"{'a': 0.5, 'e': 0.06448019870633492}",30,8,34.54355838149538,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
792,False,"{'a': 0.5, 'e': 0.06425711416600416}",25,13,22.029508826041496,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
793,False,"{'a': 0.5, 'e': 0.06403480143955008}",20,12,15.800817730898672,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
794,False,"{'a': 0.5, 'e': 0.06381325785669957}",20,10,17.44727611472514,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
795,False,"{'a': 0.5, 'e': 0.0635924807564179}",20,0,29.156918133991663,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
796,False,"{'a': 0.5, 'e': 0.06337246748687682}",25,3,37.39008287641165,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
797,False,"{'a': 0.5, 'e': 0.06315321540542274}",20,6,14.176593120986627,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
798,False,"{'a': 0.5, 'e': 0.06293472187854492}",20,14,-8.944286567812835,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
799,False,"{'a': 0.5, 'e': 0.06271698428184391}",30,11,-64.32500045183193,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
